games5425898691_pos_x,games5425898691_pos_y,games5425898691_pos_z,enpitsu_pos_x,enpitsu_pos_y,enpitsu_pos_z,ball_pos_x,ball_pos_y,ball_pos_z-GAME-WENT-OT
-3586,-2756,17,390,-5428,20,3474,-1244,867
-2746,-3270,17,221,-5567,25,3019,-447,528
-2264,-2875,246,265,-5265,17,2391,197,118
-1915,-2372,584,141,-4824,17,1495,533,104
-1375,-1633,1096,18,-4280,17,271,949,121
-727,-768,1286,-355,-3880,17,-1101,1389,97
-135,3,1163,-975,-3325,17,-2371,1793,93
574,903,681,-1444,-2732,17,-3485,2145,93
1305,1767,16,-1621,-2485,17,-3859,2088,524
2078,1433,17,-1304,-2804,17,-3344,1149,1179
2437,-28,17,-841,-3394,17,-2846,241,1481
1912,-1650,17,-600,-4298,17,-2342,-678,1438
1996,-3102,17,-362,-5206,17,-1867,-1546,1062
3138,-4212,17,-342,-5275,17,-1355,-2769,567
3820,-3839,20,-703,-4678,70,-837,-4371,124
3555,-3331,17,-1387,-3663,93,-794,-5029,149
3364,-2455,17,-1861,-2519,17,-810,-5059,315
3472,-1365,85,-985,-2356,17,-704,-5006,109
3291,116,344,-445,-3461,17,-594,-4983,155
2975,1655,310,-212,-4903,17,-489,-4962,111
2623,3326,13,-624,-5099,77,-254,-4805,744
1665,4054,17,-732,-5159,17,187,-4630,1149
1139,4098,117,-451,-4823,17,619,-4458,1200
1841,2816,536,348,-4620,120,1026,-4296,920
2551,1519,623,1678,-4051,345,1500,-3838,595
3212,313,396,2966,-3310,323,2124,-2528,831
2048,-2560,26,4065,-2467,185,2757,-1202,731
2048,-2560,17,4079,-1523,334,3025,191,404
2048,-2560,17,4016,-615,98,2042,1821,167
2048,-2560,17,3251,-120,17,1207,3219,204
2048,-2560,17,2661,-843,17,424,4537,119
2048,-2560,17,2274,-1431,17,25,5214,115
1804,-2381,17,2051,-1770,17,25,5214,115
870,-1725,17,1958,-1912,17,25,5214,115
94,-580,49,1957,-1913,17,25,5214,115
294,100,95,-256,-3840,27,0,0,93
536,448,17,-256,-3840,17,0,0,93
914,962,17,-256,-3840,17,0,0,93
1938,776,17,-256,-3840,17,0,0,93
2358,-64,87,-256,-3840,17,0,0,93
2555,-1476,81,-256,-3840,17,0,0,93
2818,-2893,17,-207,-4031,17,0,0,93
3026,-4086,17,95,-4537,17,0,0,93
2057,-4760,17,21,-5366,18,0,0,93
658,-4767,17,-26,-5337,17,-557,1112,109
-758,-4666,17,-845,-4942,17,-1281,2549,93
-871,-4675,17,-2179,-4416,17,-1946,3859,93
-585,-4650,17,-3443,-3736,17,-2543,5019,128
-1175,-4810,104,-3541,-3512,17,-2828,4984,599
-2065,-5103,277,-3554,-3402,17,-3053,4865,722
-2795,-5054,112,-3630,-2872,17,-3652,3694,290
-2366,-4666,17,-3635,-2703,17,-3928,2638,386
-1270,-4708,17,-3635,-2703,17,-3699,1805,509
282,-4836,17,-3551,-2560,17,-3499,893,388
1694,-4517,17,-3396,-2471,17,-3376,-1204,678
3233,-4157,17,-2851,-2597,17,-3260,-3185,608
4080,-3433,640,-1980,-3495,17,-2914,-4810,219
3407,-2218,839,-1813,-4792,179,-1927,-5016,259
2482,-811,703,-1794,-4703,27,-2216,-3943,466
1656,455,281,-1801,-4676,17,-2496,-2905,327
831,1239,17,-1249,-4771,17,-1881,-2896,318
-81,1021,90,-487,-4767,17,-577,-3695,346
-1241,754,82,538,-4451,121,823,-4298,120
-2591,425,17,1812,-4072,62,2545,-3856,126
-3928,-323,34,2360,-3890,17,3996,-3462,207
-3702,-1902,17,1981,-4025,17,3987,-3230,823
-2973,-3266,17,1217,-4296,17,3596,-3464,1292
-1693,-4458,17,525,-4820,17,2857,-4128,1617
-155,-4993,170,281,-4867,17,2093,-4816,1602
1362,-4890,252,414,-4847,17,1584,-4764,1287
3095,-4599,128,834,-4661,216,1191,-4387,669
3433,-4516,97,940,-4139,248,828,-3943,224
2768,-4965,30,1024,-3662,61,517,-3239,216
1698,-5014,481,560,-3656,22,503,-3360,95
2224,-3986,1347,-263,-4030,59,729,-4137,93
2699,-2998,1823,-739,-4553,17,915,-4794,93
3200,-1964,1985,-166,-4790,17,1026,-5012,289
-2048,-2560,34,1134,-4964,207,1100,-4989,330
-2048,-2560,17,2406,-5006,202,1263,-4645,759
-2048,-2560,17,3344,-4697,358,1423,-4243,826
-2048,-2560,17,3632,-4366,146,1578,-3849,545
-2048,-2560,17,2823,-4258,17,1433,-4001,100
-2048,-2560,17,1878,-4466,77,716,-5203,94
-1923,-2383,17,2751,-3464,512,716,-5203,94
-2395,-1638,17,3722,-2349,656,716,-5203,94
-3335,-2044,17,3894,-1244,439,716,-5203,94
-3404,-3222,17,2048,-2560,34,0,0,96
-2835,-4453,17,2048,-2560,17,0,0,93
-1512,-4332,17,2048,-2560,17,0,0,93
-26,-3457,17,2048,-2560,17,0,0,93
1479,-3314,17,2048,-2560,17,0,0,93
1905,-4234,17,2048,-2560,17,0,0,93
1040,-4667,17,1891,-2402,17,0,0,93
-188,-4034,17,1177,-2104,17,0,0,93
-638,-2431,17,637,-2678,17,0,0,93
-499,-939,17,206,-3640,17,-550,-1317,98
828,-232,17,-711,-4233,17,-1263,-3024,93
1872,477,17,-1863,-4257,115,-2239,-4199,122
1574,1667,17,-2738,-4097,82,-3891,-4008,359
1667,2343,17,-3394,-4138,17,-4003,-3277,826
2417,2276,17,-3857,-4159,181,-3999,-2602,922
2803,2413,78,-3978,-3253,64,-3997,-1903,669
2923,2887,356,-3802,-2020,17,-3950,-1266,140
3035,3835,356,-3694,-614,17,-3626,-279,206
3189,4706,139,-3741,713,17,-3462,1379,212
3189,4807,144,-3622,2452,17,-3300,2852,148
3294,3909,63,-3310,3997,78,-3232,4217,131
3361,2417,94,-2981,4990,506,-2001,4840,1192
3424,1066,62,-3078,4944,469,-692,4786,1768
