games5425898691_pos_x,games5425898691_pos_y,games5425898691_pos_z,enpitsu_pos_x,enpitsu_pos_y,enpitsu_pos_z,ball_pos_x,ball_pos_y,ball_pos_z-GAME-WENT-OT
0,5031,17,-13,12,153,1,-5198,298
-150,4558,17,-386,-37,382,0,0,93
-1235,4227,17,-752,-74,275,0,0,93
-2726,4161,17,-1130,-81,16,0,0,93
-3640,3464,17,-1557,380,17,0,0,93
-3002,2203,77,-1827,1147,17,0,0,93
-1882,1206,267,-1886,2162,17,0,0,93
-828,-142,354,-1557,3048,17,0,0,93
132,-1603,268,-880,3917,17,0,0,93
781,-2877,16,-49,4087,17,-500,28,94
1362,-3906,17,-90,3632,17,-3392,115,93
2202,-3491,17,-819,3258,17,-3946,172,1203
1876,-2685,17,-1180,2530,17,-3580,216,1915
1075,-2010,17,-1730,1684,17,-2897,251,1904
-11,-1732,17,-1999,992,17,-2199,287,1540
-1086,-1382,17,-2004,527,17,-1562,319,882
-2006,-1954,17,-2022,493,17,-1080,-798,270
-3209,-3013,113,-2014,1051,17,-832,-2721,216
-4080,-3638,293,-2022,914,17,-774,-4201,358
-4079,-3093,721,-2534,583,17,-1390,-4765,1113
-3996,-2381,74,-3504,279,17,-1866,-4878,1463
-3006,-2085,17,-3479,-251,17,-2247,-4561,1463
-2093,-2130,17,-3427,-450,17,-2607,-4263,1127
-1858,-3010,17,-3388,-749,17,-2967,-3964,449
-2596,-3688,17,-3430,-444,17,-2883,-3475,223
-3339,-3253,17,-3427,-419,17,-2628,-2889,184
-4045,-2582,132,-3373,43,17,-3229,-2868,724
-4079,-2465,638,-3333,263,17,-3750,-3289,1331
-3858,-3041,749,-2960,-107,17,-3081,-3598,1406
-3607,-3680,691,-2366,-616,17,-2389,-3918,1132
-3313,-4425,296,-1649,-1347,17,-1727,-4224,521
-2889,-4524,17,-646,-1265,17,-1875,-5025,223
-2031,-4160,17,162,-1412,17,-2253,-4993,793
-1237,-3600,76,-17,-1590,55,-2631,-4957,1020
-524,-2415,86,-724,-1331,323,-2992,-4609,1258
-21,-1284,17,-1667,-1343,430,-3347,-4030,1416
-623,-612,17,-2679,-1417,317,-3697,-3458,1229
-1389,-1099,17,-3797,-1757,132,-3960,-3177,835
-1795,-1964,17,-3871,-2522,20,-3642,-3916,613
-1569,-2841,17,-3288,-3510,17,-3165,-4520,113
-709,-2562,17,-3707,-4178,56,-2234,-4569,156
-749,-1660,40,-4080,-3513,327,-1797,-3698,547
-1587,-765,94,-4062,-2427,175,-1491,-2713,704
-2530,352,17,-3926,-1421,36,-1176,-1693,515
-2967,1817,17,-3697,-290,17,-1581,-2056,166
-3122,3532,17,-3208,964,106,-2061,-2713,334
-2273,4697,17,-2660,2141,67,-2519,-3341,161
-1475,4742,17,-1834,3304,17,-2925,-3897,175
-461,4912,17,-595,3893,17,-3468,-4452,207
348,4684,159,566,4303,191,-3626,-4051,900
877,4011,126,1452,4519,139,-3814,-3542,1339
1371,3636,17,2284,4754,17,-3238,-2702,1524
1458,4274,17,2763,4215,107,-2354,-1723,1413
1836,4802,17,3271,2933,97,-1498,-777,974
2226,4374,17,3213,1905,17,-613,202,160
2030,3179,17,2132,1206,17,-46,879,472
1661,2201,17,1100,-142,17,501,1537,569
652,2215,17,-10,-1202,17,802,2553,441
-248,2342,17,-1360,-2190,17,651,4177,368
-408,1585,17,-2386,-3539,17,1365,4131,606
418,1010,17,-3557,-4069,17,2040,4088,503
1044,1721,17,-3644,-3109,90,2669,3996,96
582,2827,17,-3490,-1716,75,2402,2835,102
165,3898,17,-3305,-299,105,2154,1876,93
458,4416,17,-3092,1245,89,1929,1056,93
1203,4766,172,-2856,2952,17,859,-465,247
2049,5052,279,-1970,4268,17,-245,-2007,100
2836,4993,61,-660,4953,17,113,-1588,629
3241,4317,17,311,4903,17,868,-619,974
3005,3735,150,464,4722,17,1598,318,960
2919,3246,281,828,4115,17,2287,1204,618
2970,2895,156,1027,3269,17,2953,2054,185
3170,2531,17,1754,3148,17,3557,3107,546
3832,2844,18,1855,3956,17,3381,4178,728
3918,3706,35,1712,4994,26,2251,4684,530
2955,3881,93,2081,5103,738,2468,4469,347
1764,3801,65,2848,4911,1019,3599,3843,145
496,3833,17,3722,4290,1004,3526,3826,443
191,4596,17,4024,3903,916,3114,3522,449
395,4761,17,3887,4145,1018,2965,2860,393
568,4784,17,3379,4661,531,2963,2009,127
576,4792,17,2522,4944,15,3413,3159,211
300,4892,17,1834,4131,58,3661,4240,450
375,4831,145,1553,2848,276,3391,4494,986
190,4761,93,1244,1435,159,3101,4716,1171
156,4478,19,882,856,17,3038,4773,1053
690,3996,151,600,1568,17,3961,3770,919
1395,3442,151,371,2128,32,3997,2708,520
2320,2136,139,563,624,65,3750,1776,94
3219,849,38,528,-639,17,3130,1746,233
3921,-81,42,505,-1540,183,2463,2068,165
-256,3840,17,0,4608,17,1915,3001,452
-256,3840,17,0,4608,17,1464,4312,728
-256,3840,17,0,4608,17,1070,4638,639
-256,3840,17,0,4608,17,784,3917,211
-256,3840,17,0,4608,17,286,4856,120
-256,3840,17,0,4608,17,79,5209,131
-170,3457,17,0,4324,17,79,5209,131
66,2295,17,0,3646,17,79,5209,131
42,932,17,0,2704,17,79,5209,131
-19,-41,93,88,1644,17,0,0,93
-49,-362,16,999,1294,17,0,0,93
-737,-591,17,2437,756,17,0,0,93
-1965,-445,89,3860,-224,19,0,0,93
-3149,-266,17,4044,-1534,928,0,0,93
-3658,702,17,3869,-2937,1136,0,0,93
-3168,1477,17,3687,-4259,974,0,0,93
-3060,2325,17,2899,-4707,598,0,0,93
-2444,2170,17,2228,-5040,53,0,0,93
-2542,1303,129,1801,-4457,17,937,-244,95
-2986,236,464,1343,-3731,17,2589,-745,93
-3501,-398,513,735,-3013,17,3977,-1171,169
-4054,-1012,274,279,-1629,17,3994,-1415,780
-3971,-781,58,-62,-98,17,3985,-1653,1030
-3358,161,17,-729,1354,17,2151,-1312,1768
-3168,1682,169,-2157,1309,196,654,-918,779
-3017,3205,118,-3408,618,227,-543,-602,390
-3302,4589,56,-4029,-24,128,-1434,-368,846
