games5425898691_pos_x,games5425898691_pos_y,games5425898691_pos_z,enpitsu_pos_x,enpitsu_pos_y,enpitsu_pos_z,ball_pos_x,ball_pos_y,ball_pos_z-GAME-WENT-OT
-2593,4462,17,221,5241,17,291,3712,103
-3080,3884,17,501,4645,17,601,3485,364
-2492,3263,17,867,3676,111,908,3261,279
-1348,3728,17,1174,2671,153,972,2096,93
-166,3212,17,1421,1564,17,927,764,101
197,1534,17,1145,538,89,888,-413,94
198,-68,213,880,-912,82,854,-1469,93
179,-1750,123,848,-2271,49,850,-2499,115
-277,-3336,17,682,-3714,109,879,-3676,93
-1651,-3731,17,65,-4708,96,1094,-3712,93
-2878,-2620,17,-511,-5615,47,1290,-3753,93
-3439,-1057,17,-834,-5905,253,1036,-3712,238
-3474,526,17,-879,-5651,170,-182,-3491,456
-2302,964,17,-539,-5224,17,-1306,-3287,325
-1785,-36,17,334,-4819,17,-2329,-3096,188
-2542,-487,17,1506,-4494,97,-3170,-2930,164
-3468,-136,17,2891,-4132,35,-3531,-2302,305
-3655,937,17,3979,-3198,63,-3156,-667,600
-3273,1851,27,4017,-1497,99,-2806,860,537
-2376,2173,204,3711,60,17,-2363,1798,302
-1519,2267,133,3498,1755,17,-1663,1112,178
-768,2007,17,2991,3071,17,-1115,537,166
-547,670,17,1656,3984,17,-973,113,134
-1491,-602,17,207,4634,17,-1257,-138,101
-2684,-28,17,-790,4628,17,-1455,-356,93
-2335,1124,17,-986,3406,17,-1649,-572,93
-1501,845,17,-939,1847,17,-1834,-777,93
-1881,66,17,-1419,1378,17,-2280,-923,156
-2830,-100,17,-2153,1063,17,-3943,-766,303
-3834,231,18,-2496,254,17,-3110,-690,203
-3572,1102,17,-2544,-966,93,-2317,-1357,369
-2523,830,17,-2291,-2468,66,-1515,-3231,742
-1169,183,17,-1778,-3330,17,-776,-4962,755
192,713,17,-574,-3609,52,-255,-4005,370
1142,92,17,880,-3842,205,-194,-3603,930
782,-807,17,2537,-4105,24,-197,-3308,1327
349,-1547,227,3948,-3599,43,-199,-3013,1382
-77,-2291,576,3978,-2425,64,-202,-2722,1086
-541,-2699,810,3609,-1182,17,194,-3127,988
-920,-2947,680,2722,-1322,17,789,-3883,842
-1290,-3214,230,2392,-1961,17,1383,-4639,353
-1411,-3405,17,2509,-2413,17,2363,-4654,106
-919,-3261,17,3362,-2244,17,3396,-4349,98
-418,-2559,84,3526,-1013,17,3979,-3647,213
133,-1556,94,3483,169,17,3917,-2705,115
688,-411,17,3530,282,17,3657,-1882,97
877,859,17,3028,-344,17,3254,-1145,93
1220,1915,17,2875,-594,93,3395,-325,177
1989,2710,17,3155,-349,101,3802,679,94
2751,3708,17,3185,-218,17,3915,2081,160
3124,4874,142,2640,464,17,3707,3652,106
2136,5103,242,1793,1455,17,3249,4681,447
1659,5103,459,741,2760,17,2551,5026,701
1493,5103,437,141,4283,17,1901,5017,597
1429,5103,487,286,4852,17,1634,4726,353
953,5103,389,798,4574,71,1446,4168,107
546,5160,30,1355,3828,184,945,3565,95
477,5179,17,1836,3007,24,540,3093,93
330,4694,201,2403,3194,17,246,3804,414
75,3838,387,2108,3956,17,37,4524,792
-221,2861,315,1257,4468,17,-116,3331,691
-451,2015,15,416,4896,17,-264,2177,269
-565,1908,17,-160,4347,17,169,1365,111
-306,1214,17,520,3502,17,645,703,101
772,465,19,1612,2551,97,1006,158,93
1632,-769,117,2712,1594,16,2000,-1453,99
2446,-2130,17,3581,148,17,3025,-3119,93
2953,-3606,17,2706,-965,17,3658,-4263,394
3649,-4392,502,1435,-1126,17,3468,-4394,1060
4041,-3857,1165,339,-988,17,3298,-4511,1339
4079,-3231,689,494,-1493,17,3117,-4635,1288
3847,-3864,25,997,-1005,17,2945,-4754,890
2931,-4812,164,1463,-153,17,2801,-4868,274
2568,-5102,233,2197,-312,17,2002,-4796,1219
2067,-5102,181,1656,-980,17,1286,-4491,1713
1914,-4509,103,909,-1341,17,561,-4182,1873
