Game ID                             	  ground	  low in air	  high in air	  defending half	  attacking half	  defending third	  neutral third	  attacking third	  behind ball	  in front of ball	  near wall	  in corner	  on wall	  full boost	  low boost	  no boost	  closest to ball	  close to ball	  furthest from ball	  slow speed	  boost speed	  supersonic	  carrying ball
da9c9822-3314-43c9-b99b-e269ddff1112	  234.78	      100.55	     0.691657	         205.817	         131.735	          155.595	        105.444	          76.5133	      253.434	           84.1185	     60.479	    4.98822	   60.479	     25.9062	    68.5857	   18.3161	            87.65	        23.2815	              95.888	     56.1541	      175.822	     35.9677	         1.1658
45a38201-39c9-4364-a506-f8dca46e6c60	 227.605	      77.718	            0	         202.245	         112.146	          146.313	        94.4934	          73.5853	      247.461	           66.9302	    69.8024	    3.38407	  69.8024	     34.4466	    88.8403	   35.3132	           80.368	        27.7744	             72.5991	     52.8713	      119.333	     19.6998	              0
88b8d542-3c20-470e-afc7-532af495b239	 223.601	     78.8254	     0.436491	         209.495	         103.271	          160.662	        90.2038	          61.9013	      231.081	           81.6855	    71.2745	    6.51658	  71.2745	      21.414	    89.5385	   27.6783	           65.723	         24.675	             86.5264	     52.0755	      138.891	     28.4056	        1.60251
eea8ecfe-8762-4825-bb49-2342e6a7b5d8	 176.068	     74.8598	      1.78318	         185.981	         76.4645	          144.439	        79.3429	          38.6634	      186.316	           76.1295	    66.6066	    4.11464	  66.6066	     47.0372	    82.7491	   34.1509	           74.491	        34.3996	             49.4816	     50.8105	      94.6089	     12.8129	        2.00311
a1e94921-f485-47b0-81ce-e9a7ed3ace9d	 214.076	     109.824	            0	          202.64	         135.896	           153.81	        97.0475	          87.6789	       236.99	           101.547	    94.7401	    3.27309	  94.7401	     34.8859	    79.2327	   28.6972	          89.9868	        36.6192	             52.8647	     69.9561	       147.78	      39.036	              0
57b6737f-6a93-432b-b7eb-fe96f760b176	 227.167	     82.5252	      2.87731	         155.331	         177.038	          103.482	        104.074	          124.813	       254.39	           77.9789	    69.3549	    7.20563	  69.3549	     21.6654	    118.405	    50.069	           77.031	        31.2963	             100.186	     56.2088	      151.405	     30.1887	              0
e023fd29-615f-4b90-8aad-c6055214f626	 208.971	     88.1454	            0	         194.636	         116.392	          149.236	        82.6213	           79.171	      215.435	           95.5935	    79.0228	    5.64385	  79.0228	     17.2242	     101.02	   38.9656	          68.7012	        32.3947	              88.822	     53.4755	      144.454	     29.5646	              0
fd330199-bf28-4077-9898-45c1a7f95bf1	 213.447	     97.5233	      1.42039	         191.555	          128.64	          140.455	        100.164	          79.5749	      250.445	           69.7491	     72.347	    3.78772	   72.347	     25.3908	    89.6654	   40.7955	          80.8581	        34.6796	             77.7378	     55.2087	      141.578	     29.6527	              0
a7be263e-a3ab-435c-8764-696e4474cc44	 218.052	     86.3816	      2.80496	         183.225	         132.245	          125.623	        104.029	          85.8179	      220.905	           94.5276	    67.6614	    6.08205	  67.6614	     33.2141	     81.782	   14.7499	          48.2386	         23.002	             113.663	      52.333	      142.223	     29.1248	              0
7f2c76ff-114a-405b-ab74-7a2ae937aa03	 221.718	     86.3603	    0.0730944	         225.163	         91.9469	          167.224	        98.6485	           51.237	      237.904	           79.2057	    93.3783	    4.00704	  93.3783	     42.7859	     92.468	   37.0804	          59.8994	        25.5655	              99.129	     70.9323	      134.205	     27.1959	              0
722beb45-28ce-4721-b157-56b736ac066d	 234.501	     88.8973	            0	         190.596	         142.669	          126.949	        126.275	          80.0417	      217.067	           116.198	    62.9998	    2.43984	  62.9998	     29.3517	     97.034	   33.6428	          65.6254	        28.8099	             97.3316	     46.6512	      182.727	     50.2866	              0
8e256c72-c3e0-4f5e-9645-212dbdc55fca	 235.301	     77.4743	      1.41865	         159.516	         165.424	          100.507	        130.996	          93.4362	      247.462	           77.4774	    56.1644	    1.63777	  56.1644	      45.848	      79.23	   32.3506	          71.6281	         27.774	             89.3269	     47.2448	      150.887	     26.2912	              0
825c7919-fdc6-4e2f-8b3d-88b6f0ff8205	 208.747	      87.622	      2.62415	         180.862	         128.175	          119.517	         104.53	          84.9904	      251.261	           57.7769	    70.1984	     6.9154	  70.1984	     66.2405	     112.59	   42.0977	          81.1862	        34.0674	             72.7202	     56.9483	      133.689	     20.9374	        1.67653
76a196b8-5145-433b-bfe9-b3e7e7e1bb19	 213.204	     90.2185	      1.38316	         187.226	         136.578	           107.23	        143.645	          72.9297	        241.3	           82.5043	    61.7018	    1.89432	  61.7018	     31.8247	     128.58	   50.0351	          72.1674	         36.294	             80.2978	     50.3587	      151.172	     25.6327	        2.00338
c42aebaa-0ab4-4745-825c-d48e5bab6652	 236.303	      73.535	            0	         200.419	         122.526	          149.804	        92.7421	          80.3989	      230.133	           92.8123	    79.1913	    2.73043	  79.1913	     31.3456	    66.8875	   16.7506	          64.5238	        19.7699	             111.937	     58.6392	      137.674	     36.1558	              0
99c849c6-6e88-46fc-8a17-c62ef8c1483a	 159.124	     67.1287	            0	         156.468	         78.8189	          111.237	        84.5459	          39.5038	      167.423	           67.8637	    49.2552	    1.92871	  49.2552	     22.5794	    87.8621	   26.2185	          70.6892	        23.8073	             43.6648	     40.9611	      98.4166	     22.3479	              0
55c471ee-a0a5-412b-9d26-d062a4106ea2	 179.443	     69.6423	      2.65814	         168.575	         91.4715	          116.737	        83.7775	          59.5313	      194.157	           65.8895	    63.2106	    2.43557	  63.2106	     31.7907	    79.9642	   38.1605	          74.0565	        23.3293	             65.7612	     49.0506	      114.961	     26.4368	              0
827a7f92-3091-42ac-98a1-82b74957889d	 133.408	     49.7495	      1.45636	         106.726	         86.0102	          73.4786	        74.0668	          45.1912	      145.916	           46.8208	    49.5141	    2.44154	  49.5141	     8.33691	    86.7775	   32.6658	          60.7328	        24.6033	             42.6837	     27.5625	      107.095	     22.5014	        2.29397
1cdec366-b728-4604-81d4-9404de44cf84	 215.135	     99.9837	            0	         188.475	         135.641	          137.815	        97.1846	          89.1169	      246.484	           77.6322	    63.3534	    3.82409	  63.3534	     20.3909	    154.686	   73.9864	          69.6491	        33.7568	             73.9966	     62.3279	      123.548	     21.0084	              0
47e238e4-e3c4-41a0-8be5-f189bbd6facd	 179.014	     80.8174	      3.42255	         132.507	         140.725	           90.777	        93.7309	          88.7238	      191.078	            82.154	    58.5106	    1.09241	  58.5106	     41.6598	     79.957	   43.1793	          60.9966	        23.6913	             57.3489	     32.5178	      132.346	     25.7856	              0
0abb8fa7-a823-4ac4-91a3-d85cd94364be	 211.825	     83.2206	      2.65791	         189.343	         125.032	          133.009	         100.57	          80.7961	      239.436	           74.9386	    75.8358	    2.22215	  75.8358	     26.4011	    98.1967	   34.4883	          76.1512	        25.8054	             94.6042	     59.1802	       161.53	     38.4836	              0
f9c1e584-6129-452b-8dd1-541acefa41d8	 155.584	     73.8688	            0	         167.813	         74.2374	          131.761	        68.0076	          42.2819	      200.942	           41.1085	    70.3559	    3.06034	  70.3559	     28.0759	    73.9928	   35.6007	          52.6056	        21.9959	             61.6674	     47.9037	       107.09	     17.1096	        1.23837
