  xGF	  xGC	  GF	  GC	  HF	  HC	  xGD	  GD	  HD	Replay ID                           	  P(Win)	  P(Result)	  P(Score)	  Luck %	Outcome  	  StartTime
 2.43	 6.18	   4	   5	  64	  90	-3.75	  -1	 -26	e6041ac2-3c04-4c76-90cf-fe6aa56ce69d	    4.72	      95.28	      2.61	   -4.72	L        	 1622838298
 3.45	 1.97	   6	   1	  62	  50	 1.48	   5	  12	5a1fb1f1-0629-40b7-a255-224ea2a4fe7b	   78.66	      78.66	      1.88	   21.34	W        	 1622838705
 1.79	 7.61	   1	   4	  67	  98	-5.82	  -3	 -31	a9dd20a3-30cb-40f8-a3c8-b46944af460a	    0.53	      99.47	      1   	   -0.53	L        	 1622839733
 3.52	 3.35	   5	   3	  71	  81	 0.17	   2	 -10	2044271c-8b03-4237-b421-2b903e5da2f0	   52.74	      52.74	      4.36	   47.26	W        	 1622840214
 3.3 	 2.44	   4	   2	  83	  58	 0.86	   2	  25	e6ddee71-9656-41ee-ba3e-e33beb223f8e	   65.63	      65.63	      8.27	   34.37	W        	 1622840663
 3.79	 3.4 	   5	   1	  47	  47	 0.4 	   4	   0	ca319fd1-b4cd-4906-b6f8-3b0e1facd8dc	   58.38	      58.38	      1.17	   41.62	W        	 1622840991
 4.96	 3.31	   3	   5	  79	  88	 1.65	  -2	  -9	cf68e8fa-6ca6-44cb-9f44-125d92544d89	   75.47	      24.53	      2.03	  -75.47	L        	 1622841508
 5.3 	 3.92	   2	   3	  71	  69	 1.38	  -1	   2	ac65a0e0-36ea-495a-a112-14162b78baec	   71.04	      28.96	      1.18	  -71.04	L        	 1622842081
 4.51	 5.79	   2	   4	  69	  87	-1.28	  -2	 -18	c1c2fa10-1621-4a5f-abf2-a3cc1003a02a	   30.11	      69.89	      1.54	  -30.11	L        	 1622842544
 2.32	 4.94	   1	   6	  75	  89	-2.61	  -5	 -14	a9ba38b3-0968-4cd7-828b-224a1900b54b	   12.49	      87.51	      4.22	  -12.49	L        	 1622843009
 4.07	 4.23	   1	   4	  75	  86	-0.16	  -3	 -11	7d4a6dc5-37ac-43e4-bbb6-c76cad638927	   47.41	      52.59	      0.92	  -47.41	L        	 1622843432
 3.35	 3.86	   0	   2	  76	  64	-0.52	  -2	  12	936a4504-4910-447c-bfbe-affb3c593ed4	   40.76	      59.24	      0.4 	  -40.76	L        	 1622843861
 4.24	 3.67	   3	   2	  78	  72	 0.57	   1	   6	d978fdb0-bbe4-4775-bfe1-dae553052be3	   59.77	      59.77	      3.91	   40.23	W        	 1622844311
 5.28	 2.98	   5	   1	  41	  66	 2.31	   4	 -25	266011af-4488-49e9-be22-57c73ca1d6a9	   86.05	      86.05	      3.25	   13.95	W        	 1622844665
 3.04	 5.6 	   3	   5	  62	  82	-2.56	  -2	 -20	9aefc87a-ca43-4fdd-97f4-5c30ba17945f	   11.22	      88.78	      8.1 	  -11.22	L        	 1622904477
 6.96	 5.7 	   5	   6	  84	  90	 1.26	  -1	  -6	0793ee01-14ea-43e4-b07d-1bc35a94caf8	   67.61	      32.39	      3.07	  -67.61	L*       	 1622904995
 4.41	 3.11	   4	   2	  66	  93	 1.3 	   2	 -27	a1860e97-16d5-47e6-a6da-f1c8ab379e12	   71.61	      71.61	      6.4 	   28.39	W        	 1622905432
 7.12	 1.7 	   6	   1	  82	  55	 5.42	   5	  27	93e3bcbc-7e58-431c-8da4-5ed3082d3e61	   99.29	      99.29	      6.18	    0.71	W        	 1622924280
 8.09	 5.11	   6	   5	  84	  82	 2.98	   1	   2	22f8b726-925f-4a52-b93d-2504251838a9	   86.79	      86.79	      3.25	   13.21	W*       	 1622924838
 4.07	 5.25	   2	   4	  76	  80	-1.18	  -2	  -4	c9eceee6-f6d6-42dd-babb-838a9f9cbb0e	   31.2 	      68.8 	      2.6 	  -31.2 	L        	 1622925262
 3.36	 2.21	   1	   2	  89	 113	 1.16	  -1	 -24	a6143c56-040e-4064-855b-90e12e13a96c	   70.84	      29.16	      3   	  -70.84	L*       	 1622925778
 5.15	 3.51	   3	   4	  70	  90	 1.64	  -1	 -20	da9c9822-3314-43c9-b99b-e269ddff1112	   76.16	      23.84	      3.03	  -76.16	L*       	 1622926255
 3.97	 2.51	   3	   2	  82	  83	 1.46	   1	  -1	45a38201-39c9-4364-a506-f8dca46e6c60	   76.43	      76.43	      8.87	   23.57	W        	 1622926687
 3.48	 2.32	   1	   3	  64	  79	 1.16	  -2	 -15	88b8d542-3c20-470e-afc7-532af495b239	   70.86	      29.14	      2.07	  -70.86	L        	 1622927088
 2.72	 3.46	   5	   2	  55	  70	-0.73	   3	 -15	eea8ecfe-8762-4825-bb49-2342e6a7b5d8	   35.91	      35.91	      1.33	   64.09	W        	 1622927463
 5.04	 4.66	   2	   1	  76	  72	 0.38	   1	   4	a1e94921-f485-47b0-81ce-e9a7ed3ace9d	   56.01	      56.01	      0.09	   43.99	W*       	 1622928044
 6.94	 5.9 	   6	   5	  75	  90	 1.04	   1	 -15	57b6737f-6a93-432b-b7eb-fe96f760b176	   64.42	      64.42	      4.21	   35.58	W        	 1622928626
 3.22	 5   	   1	   3	  61	  75	-1.78	  -2	 -14	e023fd29-615f-4b90-8aad-c6055214f626	   19.48	      80.52	      1.08	  -19.48	L        	 1622929062
 3.25	 4.38	   4	   3	  69	  92	-1.13	   1	 -23	fd330199-bf28-4077-9898-45c1a7f95bf1	   30.31	      30.31	      5.07	   69.69	W        	 1622929514
 3.93	 4.33	   2	   3	  59	 101	-0.4 	  -1	 -42	a7be263e-a3ab-435c-8764-696e4474cc44	   43.38	      56.62	      3.01	  -43.38	L        	 1622996809
 3.73	 8.03	   3	   4	  56	  95	-4.3 	  -1	 -39	7f2c76ff-114a-405b-ab74-7a2ae937aa03	    4.07	      95.93	      0.61	   -4.07	L        	 1622997284
 5.25	 7.49	   4	   6	  72	  83	-2.24	  -2	 -11	722beb45-28ce-4721-b157-56b736ac066d	   18.89	      81.11	      3.46	  -18.89	L        	 1622997822
 5.83	 3.44	   8	   4	  63	  81	 2.38	   4	 -18	8e256c72-c3e0-4f5e-9645-212dbdc55fca	   85.45	      85.45	      2.91	   14.55	W        	 1622998352
 4.05	 2.97	   5	   3	  75	  79	 1.08	   2	  -4	825c7919-fdc6-4e2f-8b3d-88b6f0ff8205	   69.65	      69.65	      7.23	   30.35	W        	 1622998842
 4.78	 6   	   4	   5	  77	 102	-1.22	  -1	 -25	76a196b8-5145-433b-bfe9-b3e7e7e1bb19	   29.9 	      70.1 	      5.66	  -29.9 	L        	 1622999332
 5.91	 3.53	   5	   4	  79	  62	 2.38	   1	  17	c42aebaa-0ab4-4745-825c-d48e5bab6652	   84.58	      84.58	      5.5 	   15.42	W        	 1622999824
 6.13	 3.82	   6	   3	  58	  56	 2.32	   3	   2	99c849c6-6e88-46fc-8a17-c62ef8c1483a	   84.74	      84.74	      6.58	   15.26	W        	 1623000273
 3.61	 3.14	   5	   1	  52	  65	 0.47	   4	 -13	55c471ee-a0a5-412b-9d26-d062a4106ea2	   59.4 	      59.4 	      2.08	   40.6 	W        	 1623010831
 5.02	 3.24	   5	   1	  54	  44	 1.78	   4	  10	827a7f92-3091-42ac-98a1-82b74957889d	   80.1 	      80.1 	      2.96	   19.9 	W        	 1623011136
 4.57	 5.56	   6	   3	  62	  95	-0.98	   3	 -33	1cdec366-b728-4604-81d4-9404de44cf84	   33.74	      33.74	      1.48	   66.26	W        	 1623011626
 5.15	 2.5 	   4	   1	  58	  64	 2.65	   3	  -6	47e238e4-e3c4-41a0-8be5-f189bbd6facd	   89.41	      89.41	      4.08	   10.59	W        	 1623012130
 3.54	 3.2 	   2	   3	  64	  75	 0.34	  -1	 -11	0abb8fa7-a823-4ac4-91a3-d85cd94364be	   56.55	      43.45	      5.85	  -56.55	L        	 1623012565
 3.65	 2.97	   5	   1	  60	  53	 0.68	   4	   7	f9c1e584-6129-452b-8dd1-541acefa41d8	   63.5 	      63.5 	      2.37	   36.5 	W        	 1623012937
 3.95	 2.11	   3	   2	  71	  92	 1.84	   1	 -21	b97f429e-cfd7-442c-8468-e0515178421e	   82.29	      82.29	      8.32	   17.71	W        	 1623013633
 2.74	 4.21	   2	   3	  65	  76	-1.47	  -1	 -11	4b44be40-8392-4f0e-b35c-a1353cae3f52	   24.77	      75.23	      6.41	  -24.77	L        	 1623014061
 2.73	11.36	   0	   5	  67	 102	-8.63	  -5	 -35	7a304476-0ace-4a4b-957f-e06c3b9ef161	    0.05	      99.95	      0.01	   -0.05	L        	 1623014491
 6.8 	 6.98	   2	   7	  62	  83	-0.19	  -5	 -21	ab02b6ba-ca7d-4c88-b664-a5cfcbff7321	   47.29	      52.71	      0.22	  -47.29	L        	 1623014965
 3.46	 3.21	   4	   2	  75	  56	 0.25	   2	  19	4e1080c9-f66d-4bf0-ad14-671a4daeef08	   54.33	      54.33	      6.01	   45.67	W        	 1623015399
 6.84	 5.27	   4	   5	  73	  78	 1.57	  -1	  -5	189281c5-6f93-49df-b2d6-f2fc1c2a4b4f	   73.18	      26.82	      1.5 	  -73.18	L        	 1623015886
 3.17	 3.52	   1	   4	  83	  66	-0.36	  -3	  17	2fcbeb91-c147-4989-9d84-80a1289d4538	   43.73	      56.27	      2.61	  -43.73	L        	 1623016401
 2.26	 5.52	   0	   5	  59	 101	-3.25	  -5	 -42	795a3b9c-e155-41a9-a9f4-6f7f6617657f	    5.93	      94.07	      1.46	   -5.93	L        	 1623016815
 3.43	 5.21	   3	   4	  77	  81	-1.78	  -1	  -4	7aa2ba2c-3f12-4098-a23f-08407a915cb4	   23.49	      76.51	      5.26	  -23.49	L*       	 1623017288
 4.22	 8.52	   3	   4	  99	 105	-4.31	  -1	  -6	d5950a7f-d63a-4fb6-8c9f-79ba3109fea6	    5.4 	      94.6 	      0.28	   -5.4 	L*       	 1623084286
 3.94	 3.07	   1	   4	  66	  69	 0.87	  -3	  -3	62bb3c52-cd34-412f-92fe-046ed8f36e58	   65.51	      34.49	      1.02	  -65.51	L        	 1623084713
 4.67	 6.47	   2	   4	  80	  87	-1.8 	  -2	  -7	5605d1cc-2d9b-4fb9-aaf0-36245733e09e	   23.3 	      76.7 	      0.73	  -23.3 	L        	 1623085171
 4.74	 7.12	   1	   6	  78	  87	-2.38	  -5	  -9	324d0b5b-d338-413f-b5fb-7b43afc6c664	   18.26	      81.74	      0.33	  -18.26	L        	 1623098031
 3.59	 5.1 	   2	   5	  62	  81	-1.51	  -3	 -19	4df2ac70-4507-4daa-870a-f15c9f3fc353	   25.7 	      74.3 	      4.23	  -25.7 	L        	 1623098486
 3.98	 4.45	   5	   3	  83	  82	-0.47	   2	   1	b654fe43-427f-4cdb-be96-01769d7730b5	   41.62	      41.62	      4.03	   58.38	W        	 1623098920
 2.97	 1.63	   4	   0	  44	  46	 1.34	   4	  -2	d9ec4dbb-fbaa-4c54-807e-19668f8a0276	   80.52	      80.52	      3.06	   19.48	W        	 1623099205
 1.97	 6.06	   3	   4	  81	  97	-4.08	  -1	 -16	6d15124f-61d8-4cb9-8cf2-9913696649fa	    3.54	      96.46	      2.39	   -3.54	L        	 1623099778
 2.37	 3.49	   1	   3	  75	  82	-1.12	  -2	  -7	4c18ea70-0173-47dc-8d92-08b5d2ce78d3	   28.77	      71.23	      7.31	  -28.77	L        	 1623100188
 6.73	 5.85	   2	   3	  64	  90	 0.88	  -1	 -26	d089f14d-37e1-4667-9fa1-6d289750d378	   63.77	      36.23	      0.03	  -63.77	L        	 1623100633
 2.51	 5.6 	   3	   2	  59	  65	-3.09	   1	  -6	d0cb8c72-3b41-4d5d-b565-8574245ed647	    8.3 	       8.3 	      0.77	   91.7 	W*       	 1623101080
 4.39	 3.53	   4	   1	  72	  62	 0.86	   3	  10	cf47478b-a6e0-48ba-8c3c-bd88e468e8eb	   64.91	      64.91	      1.2 	   35.09	W        	 1623101578
 3.29	 2.88	   1	   2	  75	  87	 0.41	  -1	 -12	325ea797-c097-47f5-891a-0c8bbae4a737	   58.74	      41.26	      0.91	  -58.74	L*       	 1623102071
 3.15	 4.33	   2	   6	  64	 109	-1.18	  -4	 -45	ad424fb1-de99-4f38-9ac6-18a68c78bf79	   29.55	      70.45	      3.5 	  -29.55	L        	 1623102540
 2.58	 3.38	   2	   3	  69	  77	-0.81	  -1	  -8	4c2d7de5-80dc-4798-be13-00ec792c2753	   34.33	      65.67	     10.32	  -34.33	L        	 1623102946
 3.42	 5.85	   2	   3	  57	 101	-2.44	  -1	 -44	c27cb881-8d0e-41bf-b429-95511edfcf75	   16.61	      83.39	      1.58	  -16.61	L*       	 1623103416
 3.87	 1.64	   4	   0	  60	  75	 2.24	   4	 -15	726d5ede-6456-4014-85ae-1aef47563e1a	   86.87	      86.87	      4.2 	   13.13	W        	 1623103822
 4.65	 5.51	   1	   4	  65	  79	-0.86	  -3	 -14	61642586-79ac-41d2-bd36-172fc8c3c852	   36.77	      63.23	      0.42	  -36.77	L        	 1623104252
 4.39	 2.24	   4	   1	  50	  57	 2.15	   3	  -7	54efda6d-b2c7-42d0-8261-28f04a862cdc	   84.56	      84.56	      6.41	   15.44	W        	 1623104614
 3.57	 3.55	   3	   4	  66	  71	 0.02	  -1	  -5	2f80b50b-d4f5-4e3a-bb46-beba3f94575e	   50.47	      49.53	      7.67	  -50.47	L        	 1623169332
 2.58	 3.63	   3	   5	  75	  70	-1.05	  -2	   5	5cd2f057-79bc-4897-b8ea-0d3bfab30481	   29.97	      70.03	      5.55	  -29.97	L        	 1623169784
 4.31	 2.3 	   5	   0	  63	  94	 2.01	   5	 -31	8926af93-447a-42c3-9699-d9023698c3fd	   83.59	      83.59	      1.2 	   16.41	W        	 1623170224
 3.04	 2.74	   2	   4	  81	  59	 0.31	  -2	  22	d0e5106b-e680-4422-b4a9-d76c2bb34ad3	   55.78	      44.22	      4.99	  -55.78	L        	 1623170662
 4.27	 6.24	   2	   4	  63	  96	-1.97	  -2	 -33	6817c4e0-6f6f-431d-92cf-17d794f45ac6	   21.14	      78.86	      1.25	  -21.14	L        	 1623171120
 5.07	 4.71	   5	   4	  70	  82	 0.36	   1	 -12	992fd18f-9510-406a-a040-29d6e388007e	   55.45	      55.45	      5.78	   44.55	W*       	 1623185396
 7   	 2.13	   2	   3	  74	  75	 4.88	  -1	  -1	444fa25e-1c78-4fcf-a51c-27935875780a	   97.75	       2.25	      0.14	  -97.75	L        	 1623185817
 4.08	 4.24	   5	   2	  54	  77	-0.15	   3	 -23	5b64e05d-80cf-4d6f-8e6e-2730f3ea7c57	   47.23	      47.23	      2.52	   52.77	W        	 1623186253
 4.63	 4.2 	   4	   3	  62	  63	 0.43	   1	  -1	23619f6c-c8df-428d-93d2-eb9dfe610eb8	   57.73	      57.73	      6.46	   42.27	W        	 1623186711
 7.26	 3.73	   4	   5	  86	  86	 3.53	  -1	   0	63f84047-f040-4537-913e-dc7ec1db7284	   92.14	       7.86	      0.91	  -92.14	L*       	 1623187200
 2.96	 4.71	   2	   3	  68	  83	-1.75	  -1	 -15	3c62fa7a-dc8f-445c-94b1-dad623533968	   20.83	      79.17	      4.5 	  -20.83	L        	 1623187713
 3.35	 4.69	   1	   3	  75	  80	-1.34	  -2	  -5	004a9173-bb3a-4252-975a-58fa0be946e5	   27.43	      72.57	      1.58	  -27.43	L        	 1623188196
 6.76	 4.79	   4	   3	  69	  77	 1.97	   1	  -8	2c7e5894-ff13-4fb0-997a-918f935c1fb7	   77.54	      77.54	      1.32	   22.46	W        	 1623188664
 4.18	 7.71	   2	   3	  82	 120	-3.52	  -1	 -38	0453b86b-d328-47da-8098-e31f09960830	   10.2 	      89.8 	      0.2 	  -10.2 	L*       	 1623189206
 5.07	 3.74	   1	   2	  68	  71	 1.33	  -1	  -3	1edab053-ab1a-4729-ac01-a65f34ac8ba0	   72.57	      27.43	      0.11	  -72.57	L        	 1623273236
 5.07	 3.74	   1	   2	  68	  71	 1.33	  -1	  -3	719a4a59-470a-42a0-b07c-9a441e3a9a0d	   72.57	      27.43	      0.11	  -72.57	L        	 1623273236
 5.07	 3.74	   1	   2	  68	  71	 1.33	  -1	  -3	7da5e5ad-a636-49c3-abbf-8cce375e7049	   72.57	      27.43	      0.11	  -72.57	L        	 1623273236
 3.17	 2.15	   2	   0	  61	  75	 1.02	   2	 -14	453cec2f-16e2-4617-9271-40745bccabbf	   68.99	      68.99	      2.08	   31.01	W        	 1623273623
 5.92	 3.96	   3	   2	  73	  77	 1.96	   1	  -4	857c5c64-3351-429a-9cc5-ed274348e5d4	   80.39	      80.39	      0.73	   19.61	W        	 1623274064
 3.3 	 3.86	   1	   2	  78	  61	-0.56	  -1	  17	bc4e3aab-49bc-4e18-ad03-e7b6e7a26d0c	   39.17	      60.83	      1.06	  -39.17	L        	 1623274462
 1.93	 6.02	   2	   4	  60	  73	-4.09	  -2	 -13	995040e0-c27f-43d9-9c9c-55cb9c164235	    2.7 	      97.3 	      4.43	   -2.7 	L        	 1623274926
 2.38	 2.19	   1	   0	  75	  56	 0.19	   1	  19	f762d1a3-90df-494c-9d57-b1eb85957bd2	   54.16	      54.16	      2.18	   45.84	W        	 1623275543
 4.03	 1.96	   5	   0	  55	  59	 2.07	   5	  -4	d6bace0d-348a-46cb-a7a5-67ec0e3029b8	   84.24	      84.24	      2.28	   15.76	W        	 1623275929
 4.53	 4.2 	   5	   4	  84	  90	 0.34	   1	  -6	8da88a5b-e207-4866-b039-e835857612ca	   56.64	      56.64	      8.28	   43.36	W        	 1623276442
 4.3 	 1.93	   4	   1	  69	  61	 2.38	   3	   8	b25d739e-c706-4a09-bd87-ea0951d4a285	   86.88	      86.88	      7.36	   13.12	W        	 1623276886
 7.93	 4.17	   3	   2	  76	  81	 3.76	   1	  -5	088a3bf3-ebb4-4a41-9840-f105ac671719	   93.03	      93.03	      0.08	    6.97	W        	 1623277331
 4.14	 3.96	   4	   3	  71	  80	 0.18	   1	  -9	c3b1069b-c167-4e6d-bede-f22cc9a45439	   53.47	      53.47	      7.23	   46.53	W        	 1623343263
 3.8 	 2.32	   0	   1	  64	  57	 1.48	  -1	   7	bd4fc1cb-cb30-4ef2-b9d7-0d44d71786c4	   75.31	      24.69	      0.26	  -75.31	L        	 1623343617
 4.71	 2.88	   4	   0	  59	  71	 1.83	   4	 -12	62d932a4-3e0b-4b20-b43a-0a232d6311c0	   80.91	      80.91	      0.48	   19.09	W        	 1623344077
 4.82	 6.86	   6	   5	  79	 109	-2.04	   1	 -30	847228dd-0152-4fb1-8f3e-d832547d39a1	   21.35	      21.35	      2.74	   78.65	W*       	 1623344608
 4.22	 5.94	   1	   5	  65	  91	-1.72	  -4	 -26	80abfbe2-2c1a-470c-81cd-40b1e6643419	   23.74	      76.26	      0.44	  -23.74	L        	 1623358796
 2.29	 3.46	   2	   1	  63	  83	-1.17	   1	 -20	ba16c6ac-911f-4250-aa4e-9d1fcf13de34	   27.52	      27.52	      2.66	   72.48	W        	 1623359179
 6.67	 4.89	   5	   4	  65	  88	 1.78	   1	 -23	ffb35db0-f6eb-4b35-a1fd-f4ac069b8288	   74.72	      74.72	      3.43	   25.28	W        	 1623359677
 2.86	 5.16	   1	   4	  55	  93	-2.3 	  -3	 -38	573b6a0c-8e78-46d8-9423-027a46ef7052	   16.66	      83.34	      2.75	  -16.66	L        	 1623360138
 2.61	 4.57	   4	   3	  67	  75	-1.96	   1	  -8	3b8e50ce-389e-49ca-b492-f6f0863e01cf	   19.16	      19.16	      2.97	   80.84	W*       	 1623360623
 2.99	 6.57	   2	   1	  61	  82	-3.58	   1	 -21	ef8de693-0363-4df1-909b-89783191ffb2	    6.54	       6.54	      0.05	   93.46	W        	 1623361023
 3.44	 5.44	   4	   6	  78	  84	-2   	  -2	  -6	0ee15f33-6475-4d09-b56c-a69811d6b21a	   19.2 	      80.8 	      5.63	  -19.2 	L        	 1623361536
 3.77	 5.7 	   5	   2	  66	  86	-1.94	   3	 -20	2d073362-7d58-4c68-b0d7-4e7006009ef6	   21.39	      21.39	      0.53	   78.61	W        	 1623362003
 2.91	 2.97	   2	   3	  79	  97	-0.06	  -1	 -18	3afc1ab8-9e80-43aa-a15c-1b76a3c64769	   48.75	      51.25	      8.47	  -48.75	L        	 1623362454
 3.21	 3.03	   1	   2	  63	  68	 0.17	  -1	  -5	b32a1ef1-3c0b-4656-aab8-4e4f32ba3f91	   53.66	      46.34	      2.58	  -53.66	L        	 1623362850
 3.76	 8.4 	   2	   3	  81	  88	-4.64	  -1	  -7	5af61b86-f976-4a64-ba2c-8bdb706af995	    4.02	      95.98	      0.1 	   -4.02	L        	 1623363518
 3.58	 9.74	   1	   5	  65	  94	-6.16	  -4	 -29	8eef679c-9446-438a-9c80-ccfff6273c4f	    1.17	      98.83	      0.11	   -1.17	L        	 1623363967
